PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Source,Date,Metadata
AGRI_011,Agriculture,Livestock,Scale up vaccination campaigns and intensify disease surveillance to improve the health of livestock.,Kuongeza kampeni za chanjo na kuongeza ufuatiliaji wa magonjwa ili kuboresha afya ya mifugo.,,"NDMA Embu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.784
AGRI_012,Agriculture,Crop Production,Provide integrated farm advisory services to all farmers engaged in food crop production.,Kutoa huduma jumuishi za ushauri wa kilimo kwa wakulima wote wanaohusika katika uzalishaji wa mazao ya chakula.,,"NDMA Isiolo County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.747
AGRI_013,Agriculture,Livestock,Promote fodder harvesting upon maturity and proper storage.,Kukuza uvunaji wa lishe wakati wa kukomaa na uhifadhi sahihi.,,"NDMA Isiolo County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.721
AGRI_014,Agriculture,Crop Production,Promote rain-water harvesting for micro-irrigation to support kitchen gardening and crop production during the dry season.,Kukuza uvunaji wa maji ya mvua kwa umwagiliaji mdogo ili kusaidia bustani ya jikoni na uzalishaji wa mazao wakati wa kiangazi.,,"NDMA Kilifi County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.939
AGRI_015,Agriculture,Livestock,Scale up livestock disease surveillance during the rainy season to reduce mortality.,Ongeza ufuatiliaji wa magonjwa ya mifugo wakati wa majira ya mvua ili kupunguza vifo.,,"NDMA Kilifi County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.929
AGRI_016,Agriculture,Sustainable Farming,"Continue extension services and agricultural advisories to farmers, and encourage close monitoring of weekly weather forecasts.","Endelea huduma za upanuzi na ushauri wa kilimo kwa wakulima, na uhamasishe ufuatiliaji wa karibu wa utabiri wa hali ya hewa wa kila wiki.",,"NDMA Kitui County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.956
AGRI_017,Agriculture,Crop Production,"Provide farm inputs, including certified drought-tolerant seeds, to farmers.","Kutoa bidhaa za kilimo, ikiwa ni pamoja na mbegu zilizoidhinishwa zinazostahimili ukame, kwa wakulima.",,"NDMA Lamu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.841
AGRI_018,Agriculture,Livestock,"Monitor pasture, water, body condition, and disease among livestock.","Fuatilia malisho, maji, hali ya mwili, na magonjwa kati ya mifugo.",,"NDMA Lamu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.853
AGRI_019,Agriculture,Sustainable Farming,"Promote moisture conservation technologies, climate-smart agriculture, integrated pest management, post-harvest management, and crop insurance to mitigate the effects of dry conditions and pest infestations.","Kukuza teknolojia za kuhifadhi unyevu, kilimo kinachofaa hali ya hewa, udhibiti jumuishi wa wadudu, usimamizi wa baada ya mavuno, na bima ya mazao ili kupunguza athari za hali kavu na mashambulizi ya wadudu.",,"NDMA Makueni County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.583
AGRI_020,Agriculture,Livestock,"Strengthen surveillance, vaccination, and control of livestock diseases such as Foot and Mouth Disease and Lumpy Skin Disease, while supporting fodder conservation and pasture management.","Imarisha ufuatiliaji, chanjo, na udhibiti wa magonjwa ya mifugo kama vile Ugonjwa wa Miguu na Mdomo na Ugonjwa wa Ngozi ya Uvimbe, huku ukisaidia uhifadhi wa malisho na usimamizi wa malisho.",,"NDMA Makueni County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.921
AGRI_021,Agriculture,Crop Production,"Supply farm inputs, including drought-tolerant seeds, pesticides, insecticides, and fungicides, to farmers along the irrigated belt.","Sambaza pembejeo za shamba, ikiwa ni pamoja na mbegu zinazostahimili ukame, dawa za kuulia wadudu, na dawa za kuvu, kwa wakulima kando ya ukanda wa umwagiliaji.",,"NDMA Mandera County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.824
AGRI_022,Agriculture,Livestock,"Procure veterinary drugs and vaccines, and strengthen active livestock disease surveillance.","Nunua dawa za mifugo na chanjo, na uimarishe ufuatiliaji wa magonjwa ya mifugo.",,"NDMA Mandera County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.787
AGRI_023,Agriculture,Livestock,"Vaccinate cattle and shoats against PPR and FMD, and undertake deworming and vector control.","Chanjo ya ng'ombe na viatu dhidi ya PPR na FMD, na ufanye dawa ya minyoo na udhibiti wa vekta.",,"NDMA Marsabit County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.872
AGRI_024,Agriculture,Sustainable Farming,"Promote practices such as mulching and minimum tillage to maintain soil moisture, and promote the farming of drought-resistant crops such as millet and sorghum.","Kuendeleza mazoea kama vile mulching na chini ya kulima ili kudumisha unyevu wa udongo, na kukuza kilimo cha mazao sugu na ukame kama vile millet na sorghum.",,"NDMA Meru County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.899
AGRI_025,Agriculture,Livestock,"Undertake active disease surveillance, run livestock vaccination campaigns, and promote fodder storage.","Fanya ufuatiliaji hai wa magonjwa, endesha kampeni za chanjo ya mifugo, na kukuza uhifadhi wa malisho.",,"NDMA Meru County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.825
AGRI_026,Agriculture,Livestock,Promote livestock production through extension services to improve livestock productivity.,Kukuza uzalishaji wa mifugo kupitia huduma za ugani ili kuboresha uzalishaji wa mifugo.,,"NDMA Narok County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.944
AGRI_027,Agriculture,Crop Production,Enhance surveillance of crop pests and diseases in agro-pastoral areas.,Kuimarisha ufuatiliaji wa wadudu wa mazao na magonjwa katika maeneo ya kilimo-mchungaji.,,"NDMA Samburu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.753
AGRI_028,Agriculture,Livestock,"Rehabilitate degraded rangeland and manage invasive species through certified pasture seed provision, and manage livestock diseases and outbreaks such as FMD, CCPP, and PPR.","Rekebisha mifugo iliyoharibika na kudhibiti spishi vamizi kupitia utoaji wa mbegu za malisho zilizoidhinishwa, na kudhibiti magonjwa ya mifugo na milipuko kama vile FMD, CCPP, na PPR.",,"NDMA Samburu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.794
AGRI_029,Agriculture,Crop Production,"Sensitize farmers on post-harvest management of stored cereals and pulses, and support them with hermetic storage bags.","Wahamasishe wakulima juu ya usimamizi wa baada ya mavuno ya nafaka na kunde, na uwasaidie kwa mifuko ya kuhifadhi hermetic.",,"NDMA Taita-Taveta County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.855
AGRI_030,Agriculture,Livestock,"Provide livestock supplementary feeds to cattle, sheep, and goats at risk in drought hotspots, and enhance livestock health through deworming and treatment.","Toa malisho ya ziada ya mifugo kwa ng'ombe, kondoo, na mbuzi walio hatarini katika maeneo ya ukame, na kuimarisha afya ya mifugo kupitia dawa ya minyoo na matibabu.",,"NDMA Taita-Taveta County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.826
AGRI_031,Agriculture,Sustainable Farming,"Promote early-maturing and drought-tolerant crop varieties, and strengthen soil moisture conservation and water harvesting techniques.","Kukuza aina za mazao yanayokomaa mapema na yanayostahimili ukame, na kuimarisha uhifadhi wa unyevu wa udongo na mbinu za kuvuna maji.",,"NDMA Tana River County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.878
AGRI_032,Agriculture,Livestock,"Support fodder conservation and pasture regeneration, and provide targeted feed supplementation in drought hotspot areas.","Kuunga mkono uhifadhi wa malisho na urejesho wa malisho, na kutoa nyongeza ya malisho kwa lengo katika maeneo ya joto ya ukame.",,"NDMA Tana River County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.813
AGRI_033,Agriculture,Agribusiness,Encourage mindset change among farmers to stock more of their harvest and sell less.,Kuhimiza mabadiliko ya mawazo kati ya wakulima kuhifadhi mavuno yao zaidi na kuuza kidogo.,,"NDMA Tharaka-Nithi County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.8
AGRI_034,Agriculture,Crop Production,Provide agricultural extension services on proper grain handling and storage.,Toa huduma za ugani wa kilimo juu ya utunzaji na uhifadhi sahihi wa nafaka.,,"NDMA Turkana County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=1.0
AGRI_035,Agriculture,Livestock,"Enhance vaccination and treatment against reported livestock diseases, and strengthen disease surveillance.","Kuimarisha chanjo na matibabu dhidi ya magonjwa ya mifugo yaliyoripotiwa, na kuimarisha ufuatiliaji wa magonjwa.",,"NDMA Turkana County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.959
AGRI_036,Agriculture,Sustainable Farming,"Up-scale agricultural extension and monitoring services, and support irrigated agriculture through farm inputs and capacity building.","Huduma za upanuzi wa kilimo na ufuatiliaji wa ukubwa, na kusaidia kilimo cha umwagiliaji kupitia bidhaa za kilimo na kujenga uwezo.",,"NDMA Wajir County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.858
AGRI_037,Agriculture,Livestock,"Strengthen livestock disease surveillance and monitoring, and promote pasture and fodder conservation.","Kuimarisha ufuatiliaji na ufuatiliaji wa magonjwa ya mifugo, na kukuza uhifadhi wa malisho na wanyama.",,"NDMA Wajir County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.562
AGRI_038,Agriculture,Livestock,Upscale livestock vaccination against Lumpy Skin Disease to mitigate negative impacts.,Uzalishaji wa juu wa mifugo dhidi ya Ugonjwa wa ngozi ya Lumpy ili kupunguza athari mbaya.,,"NDMA Nyeri County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=nllb; qa_roundtrip=0.691
AGRI_039,Agriculture,Livestock,Promote fodder conservation by constructing hay storage facilities and prepositioning silage-baling machines.,Kukuza uhifadhi wa lishe kwa kujenga vifaa vya kuhifadhi nyasi na kuweka mapema mashine za silage-baling.,,"NDMA Nyeri County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.833
AGRI_040,Agriculture,Livestock,"Vaccinate shoats against PPR and CCPP, and cattle against FMD and LSD, to reduce livestock disease outbreaks.","Vacinate shoats dhidi ya PPR na CCPPP, na ng'ombe dhidi ya FMD na LSD, ili kupunguza mweneo wa magonjwa ya mifugo.",,"NDMA West Pokot County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=opus; qa_roundtrip=0.839
AGRI_041,Agriculture,Livestock,"Continue active livestock disease surveillance, and roll out coordinated vaccination programs targeting high-risk diseases to achieve high coverage and herd immunity.","Endelea na ufuatiliaji wa magonjwa ya mifugo, na usambaze programu za chanjo zilizoratibiwa zinazolenga magonjwa hatarishi ili kufikia chanjo ya juu na kinga ya mifugo.",,"NDMA Garissa County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.831
AGRI_042,Agriculture,Sustainable Farming,"Encourage the adoption of drought-resistant crop varieties, improved irrigation techniques, and sustainable farming practices to reduce vulnerability to drought.","Kuhimiza kupitishwa kwa aina za mazao yanayostahimili ukame, mbinu bora za umwagiliaji, na mbinu endelevu za kilimo ili kupunguza hatari ya ukame.",,Rwanda MINEMA National Contingency Plan for Drought Hazard (minema.gov.rw/fileadmin/user_upload/Minema/Publications/Contingency_Plans/National_Drought_Contingency_Plan.pdf),2026-01-01,tone=advisory; platform=government contingency plan; urgency=medium; translation=team; source_lang=en; country=Rwanda; qa_tool=azure; qa_roundtrip=0.824
AGRI_043,Agriculture,Sustainable Farming,Increase agricultural production in regions less affected by drought to stabilize overall food supply.,Kuongeza uzalishaji wa kilimo katika mikoa isiyoathiriwa sana na ukame ili kuleta utulivu wa usambazaji wa chakula kwa ujumla.,,Rwanda MINEMA National Contingency Plan for Drought Hazard (minema.gov.rw/fileadmin/user_upload/Minema/Publications/Contingency_Plans/National_Drought_Contingency_Plan.pdf),2026-01-01,tone=advisory; platform=government contingency plan; urgency=medium; translation=team; source_lang=en; country=Rwanda; qa_tool=azure; qa_roundtrip=0.962
AGRI_044,Agriculture,Crop Production,"Increase harvest storage to ensure food security during droughts by preserving surplus from productive regions, reducing post-harvest losses, and enabling rapid distribution to affected areas.","Ongeza uhifadhi wa mavuno ili kuhakikisha usalama wa chakula wakati wa ukame kwa kuhifadhi ziada kutoka kwa maeneo yenye tija, kupunguza upotezaji wa baada ya mavuno, na kuwezesha usambazaji wa haraka kwa maeneo yaliyoathiriwa.",,Rwanda MINEMA National Contingency Plan for Drought Hazard (minema.gov.rw/fileadmin/user_upload/Minema/Publications/Contingency_Plans/National_Drought_Contingency_Plan.pdf),2026-01-01,tone=advisory; platform=government contingency plan; urgency=medium; translation=team; source_lang=en; country=Rwanda; qa_tool=azure; qa_roundtrip=0.937
