PSA_ID,Domain,English
HEA_00019,Health,Notice: KEMRI confirms a cyclosporiasis outbreak alert for Kisumu County. Residents are advised to avoid contact with contaminated water sources.
HEA_00020,Health,Kenya Red Cross reminds the public that free dengue fever screening is available at all public health centres in Mandera County this April.
HEA_00021,Health,Public health advisory: Kenya Red Cross warns of increased meningitis risk in Vihiga County and advises the public to avoid contact with contaminated water sources.
HEA_00022,Health,Notice: KEMRI confirms a Rift Valley Fever outbreak alert for Mandera County. Residents are advised to seek immediate testing at the nearest health facility.
HEA_00023,Health,SHA (Social Health Authority) urges residents of Marsabit County to avoid contact with contaminated water sources following a rise in reported measles cases.
HEA_00024,Health,Public health advisory: SHA (Social Health Authority) warns of increased meningitis risk in Samburu County and advises the public to avoid contact with contaminated water sources.
HEA_00025,Health,Public health advisory: Kenya Red Cross warns of increased malaria risk in Bomet County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00026,Health,Notice: Division of Disease Surveillance and Response confirms a cyclosporiasis outbreak alert for Wajir County. Residents are advised to complete the full recommended vaccination dose.
HEA_00027,Health,Ministry of Health calls on parents in Nairobi County to have children under five screened for typhoid during the December outreach.
HEA_00028,Health,Public health advisory: KEMSA warns of increased typhoid risk in Narok County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00029,Health,Public health advisory: KEMRI warns of increased measles risk in Marsabit County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00030,Health,Public health advisory: Ministry of Health warns of increased Rift Valley Fever risk in Bungoma County and advises the public to seek immediate testing at the nearest health facility.
HEA_00031,Health,Division of Disease Surveillance and Response urges residents of Kirinyaga County to complete the full recommended vaccination dose following a rise in reported cholera cases.
HEA_00032,Health,Public health advisory: SHA (Social Health Authority) warns of increased Rift Valley Fever risk in Taita-Taveta County and advises the public to seek immediate testing at the nearest health facility.
HEA_00033,Health,Public health advisory: KEMSA warns of increased Rift Valley Fever risk in Mandera County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00034,Health,Kenya Red Cross reminds the public that free cyclosporiasis screening is available at all public health centres in Kajiado County this October.
HEA_00035,Health,CDC reminds the public that free tuberculosis screening is available at all public health centres in Nairobi County this December.
HEA_00036,Health,Notice: Kenya Medical Association confirms a HIV/AIDS outbreak alert for Homa Bay County. Residents are advised to avoid contact with contaminated water sources.
HEA_00037,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased tuberculosis risk in Wajir County and advises the public to seek immediate testing at the nearest health facility.
HEA_00038,Health,Notice: Ministry of Health confirms a tuberculosis outbreak alert for Vihiga County. Residents are advised to use insecticide-treated mosquito nets every night.
HEA_00039,Health,Ministry of Health reminds the public that free cholera screening is available at all public health centres in Lamu County this December.
HEA_00040,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Kilifi County this June.
HEA_00041,Health,Public health advisory: KEMRI warns of increased Rift Valley Fever risk in Nyandarua County and advises the public to complete the full recommended vaccination dose.
HEA_00042,Health,Public health advisory: KEMSA warns of increased meningitis risk in Nairobi County and advises the public to avoid contact with contaminated water sources.
HEA_00043,Health,Ministry of Health - Reproductive Health Unit reminds the public that free malaria screening is available at all public health centres in Uasin Gishu County this April.
HEA_00044,Health,Kenya Medical Association urges residents of Turkana County to avoid contact with contaminated water sources following a rise in reported cyclosporiasis cases.
HEA_00045,Health,SHA (Social Health Authority) urges residents of Tana River County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.
HEA_00046,Health,KEMRI reminds the public that free Rift Valley Fever screening is available at all public health centres in Tharaka-Nithi County this September.
HEA_00047,Health,Kenya Medical Association reminds the public that free Rift Valley Fever screening is available at all public health centres in Meru County this May.
HEA_00048,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Nandi County this September.
HEA_00049,Health,CDC urges residents of Mombasa County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.
HEA_00050,Health,Ministry of Health - Reproductive Health Unit calls on parents in Laikipia County to have children under five screened for cyclosporiasis during the April outreach.
HEA_00051,Health,KEMSA urges residents of Samburu County to report any suspected cases to community health volunteers following a rise in reported cyclosporiasis cases.
HEA_00052,Health,Kenya Red Cross calls on parents in Elgeyo-Marakwet County to have children under five screened for dengue fever during the December outreach.
HEA_00053,Health,KEMSA calls on parents in Tharaka-Nithi County to have children under five screened for tuberculosis during the May outreach.
HEA_00054,Health,CDC urges residents of Tana River County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.
HEA_00055,Health,Ministry of Health - Reproductive Health Unit urges residents of Narok County to seek immediate testing at the nearest health facility following a rise in reported measles cases.
HEA_00056,Health,Public health advisory: SHA (Social Health Authority) warns of increased meningitis risk in Meru County and advises the public to seek immediate testing at the nearest health facility.
HEA_00057,Health,Kenya Medical Association reminds the public that free tuberculosis screening is available at all public health centres in Wajir County this October.
HEA_00058,Health,Public health advisory: Ministry of Health warns of increased cyclosporiasis risk in Busia County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00059,Health,Public health advisory: CDC warns of increased tuberculosis risk in Murang'a County and advises the public to report any suspected cases to community health volunteers.
HEA_00060,Health,Kenya Red Cross reminds the public that free typhoid screening is available at all public health centres in Trans Nzoia County this March.
HEA_00061,Health,Division of Disease Surveillance and Response calls on parents in Lamu County to have children under five screened for Rift Valley Fever during the January outreach.
HEA_00062,Health,Public health advisory: SHA (Social Health Authority) warns of increased tuberculosis risk in Lamu County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00063,Health,Notice: KEMSA confirms a tuberculosis outbreak alert for Turkana County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00064,Health,Notice: KEMSA confirms a typhoid outbreak alert for Nandi County. Residents are advised to use insecticide-treated mosquito nets every night.
HEA_00065,Health,Public health advisory: Ministry of Health warns of increased typhoid risk in Homa Bay County and advises the public to seek immediate testing at the nearest health facility.
HEA_00066,Health,Kenya Red Cross reminds the public that free dengue fever screening is available at all public health centres in Wajir County this February.
HEA_00067,Health,Kenya Red Cross reminds the public that free tuberculosis screening is available at all public health centres in Nyeri County this October.
HEA_00068,Health,Notice: KEMRI confirms a typhoid outbreak alert for Migori County. Residents are advised to use insecticide-treated mosquito nets every night.
HEA_00069,Health,Kenya Red Cross calls on parents in Tana River County to have children under five screened for cyclosporiasis during the February outreach.
HEA_00070,Health,Notice: Ministry of Health confirms a measles outbreak alert for Mombasa County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00071,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cyclosporiasis screening is available at all public health centres in Bomet County this December.
HEA_00072,Health,Public health advisory: Ministry of Health warns of increased measles risk in Wajir County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00073,Health,Division of Disease Surveillance and Response urges residents of Vihiga County to avoid contact with contaminated water sources following a rise in reported measles cases.
HEA_00074,Health,Ministry of Health reminds the public that free cholera screening is available at all public health centres in Kirinyaga County this June.
HEA_00075,Health,Notice: KEMRI confirms a malaria outbreak alert for Migori County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00076,Health,Public health advisory: Kenya Medical Association warns of increased measles risk in Busia County and advises the public to complete the full recommended vaccination dose.
HEA_00077,Health,KEMSA reminds the public that free measles screening is available at all public health centres in Uasin Gishu County this January.
HEA_00078,Health,Notice: Kenya Medical Association confirms a tuberculosis outbreak alert for Homa Bay County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00079,Health,SHA (Social Health Authority) reminds the public that free Rift Valley Fever screening is available at all public health centres in Samburu County this January.
HEA_00080,Health,KEMRI reminds the public that free typhoid screening is available at all public health centres in Baringo County this June.
HEA_00081,Health,KEMRI reminds the public that free tuberculosis screening is available at all public health centres in Kwale County this November.
HEA_00082,Health,Division of Disease Surveillance and Response calls on parents in Nyandarua County to have children under five screened for typhoid during the February outreach.
HEA_00083,Health,Notice: CDC confirms a dengue fever outbreak alert for Trans Nzoia County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00084,Health,SHA (Social Health Authority) urges residents of Makueni County to report any suspected cases to community health volunteers following a rise in reported meningitis cases.
HEA_00085,Health,SHA (Social Health Authority) urges residents of Bungoma County to report any suspected cases to community health volunteers following a rise in reported HIV/AIDS cases.
HEA_00086,Health,CDC calls on parents in Wajir County to have children under five screened for meningitis during the July outreach.
HEA_00087,Health,Kenya Red Cross reminds the public that free cyclosporiasis screening is available at all public health centres in Kilifi County this December.
HEA_00088,Health,CDC urges residents of Kericho County to report any suspected cases to community health volunteers following a rise in reported tuberculosis cases.
HEA_00089,Health,SHA (Social Health Authority) calls on parents in Homa Bay County to have children under five screened for meningitis during the June outreach.
HEA_00090,Health,Notice: SHA (Social Health Authority) confirms a dengue fever outbreak alert for Nairobi County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00091,Health,Division of Disease Surveillance and Response calls on parents in Trans Nzoia County to have children under five screened for typhoid during the December outreach.
HEA_00092,Health,Public health advisory: KEMSA warns of increased cyclosporiasis risk in Tharaka-Nithi County and advises the public to complete the full recommended vaccination dose.
HEA_00093,Health,Public health advisory: Kenya Red Cross warns of increased cholera risk in Trans Nzoia County and advises the public to report any suspected cases to community health volunteers.
HEA_00094,Health,Notice: KEMRI confirms a meningitis outbreak alert for Elgeyo-Marakwet County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00095,Health,Ministry of Health - Reproductive Health Unit calls on parents in Nandi County to have children under five screened for tuberculosis during the November outreach.
HEA_00096,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased malaria risk in Isiolo County and advises the public to report any suspected cases to community health volunteers.
HEA_00097,Health,Public health advisory: Division of Disease Surveillance and Response warns of increased typhoid risk in Taita-Taveta County and advises the public to complete the full recommended vaccination dose.
HEA_00098,Health,KEMSA reminds the public that free tuberculosis screening is available at all public health centres in Kwale County this January.
HEA_00099,Health,SHA (Social Health Authority) calls on parents in Baringo County to have children under five screened for meningitis during the July outreach.
HEA_00100,Health,Kenya Medical Association reminds the public that free tuberculosis screening is available at all public health centres in Nakuru County this July.
HEA_00101,Health,Ministry of Health reminds the public that free tuberculosis screening is available at all public health centres in Garissa County this July.
HEA_00102,Health,CDC reminds the public that free dengue fever screening is available at all public health centres in Baringo County this January.
HEA_00103,Health,SHA (Social Health Authority) reminds the public that free Rift Valley Fever screening is available at all public health centres in Baringo County this March.
HEA_00104,Health,Public health advisory: CDC warns of increased Rift Valley Fever risk in Bungoma County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00105,Health,Public health advisory: Kenya Medical Association warns of increased measles risk in Bomet County and advises the public to avoid contact with contaminated water sources.
HEA_00106,Health,Kenya Red Cross calls on parents in Machakos County to have children under five screened for typhoid during the November outreach.
HEA_00107,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased typhoid risk in Siaya County and advises the public to avoid contact with contaminated water sources.
HEA_00108,Health,Kenya Red Cross urges residents of Machakos County to report any suspected cases to community health volunteers following a rise in reported HIV/AIDS cases.
HEA_00109,Health,Public health advisory: SHA (Social Health Authority) warns of increased tuberculosis risk in Mandera County and advises the public to avoid contact with contaminated water sources.
HEA_00110,Health,KEMRI reminds the public that free cyclosporiasis screening is available at all public health centres in Lamu County this July.
HEA_00111,Health,Notice: CDC confirms a cholera outbreak alert for Baringo County. Residents are advised to complete the full recommended vaccination dose.
HEA_00112,Health,Kenya Medical Association calls on parents in Vihiga County to have children under five screened for cholera during the December outreach.
HEA_00113,Health,Public health advisory: Kenya Medical Association warns of increased HIV/AIDS risk in Laikipia County and advises the public to report any suspected cases to community health volunteers.
HEA_00114,Health,Kenya Medical Association calls on parents in Kericho County to have children under five screened for dengue fever during the December outreach.
HEA_00115,Health,Public health advisory: KEMRI warns of increased typhoid risk in Nakuru County and advises the public to avoid contact with contaminated water sources.
HEA_00116,Health,Ministry of Health calls on parents in Samburu County to have children under five screened for cyclosporiasis during the June outreach.
HEA_00117,Health,Ministry of Health - Reproductive Health Unit reminds the public that free dengue fever screening is available at all public health centres in Mandera County this October.
HEA_00118,Health,Kenya Medical Association urges residents of Vihiga County to seek immediate testing at the nearest health facility following a rise in reported cholera cases.
HEA_00119,Health,KEMSA calls on parents in Baringo County to have children under five screened for cholera during the March outreach.
HEA_00120,Health,Notice: Kenya Medical Association confirms a Rift Valley Fever outbreak alert for Murang'a County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00121,Health,Notice: Kenya Medical Association confirms a typhoid outbreak alert for Nyandarua County. Residents are advised to seek immediate testing at the nearest health facility.
HEA_00122,Health,Ministry of Health calls on parents in Kericho County to have children under five screened for HIV/AIDS during the January outreach.
HEA_00123,Health,SHA (Social Health Authority) reminds the public that free cholera screening is available at all public health centres in Kisumu County this January.
HEA_00124,Health,KEMRI reminds the public that free measles screening is available at all public health centres in Kwale County this October.
HEA_00125,Health,KEMSA reminds the public that free malaria screening is available at all public health centres in Laikipia County this November.
HEA_00126,Health,Public health advisory: KEMRI warns of increased typhoid risk in Baringo County and advises the public to report any suspected cases to community health volunteers.
HEA_00127,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Isiolo County this May.
HEA_00128,Health,Public health advisory: Ministry of Health warns of increased cyclosporiasis risk in Kirinyaga County and advises the public to avoid contact with contaminated water sources.
HEA_00129,Health,SHA (Social Health Authority) reminds the public that free tuberculosis screening is available at all public health centres in Vihiga County this December.
HEA_00130,Health,Kenya Red Cross urges residents of Migori County to use insecticide-treated mosquito nets every night following a rise in reported malaria cases.
HEA_00131,Health,Division of Disease Surveillance and Response urges residents of Kericho County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.
HEA_00132,Health,Public health advisory: Division of Disease Surveillance and Response warns of increased Rift Valley Fever risk in Mombasa County and advises the public to seek immediate testing at the nearest health facility.
HEA_00133,Health,Division of Disease Surveillance and Response calls on parents in Siaya County to have children under five screened for measles during the August outreach.
HEA_00134,Health,KEMSA calls on parents in Nairobi County to have children under five screened for typhoid during the September outreach.
HEA_00135,Health,Public health advisory: CDC warns of increased cyclosporiasis risk in Laikipia County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00136,Health,Notice: Division of Disease Surveillance and Response confirms a typhoid outbreak alert for Machakos County. Residents are advised to avoid contact with contaminated water sources.
HEA_00137,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cyclosporiasis screening is available at all public health centres in Kakamega County this October.
HEA_00138,Health,Notice: Ministry of Health confirms a measles outbreak alert for Nakuru County. Residents are advised to avoid contact with contaminated water sources.
HEA_00139,Health,Division of Disease Surveillance and Response reminds the public that free typhoid screening is available at all public health centres in Makueni County this June.
HEA_00140,Health,Public health advisory: Kenya Red Cross warns of increased dengue fever risk in Bomet County and advises the public to complete the full recommended vaccination dose.
HEA_00141,Health,KEMRI urges residents of Nairobi County to use insecticide-treated mosquito nets every night following a rise in reported Rift Valley Fever cases.
HEA_00142,Health,Ministry of Health - Reproductive Health Unit reminds the public that free Rift Valley Fever screening is available at all public health centres in Kisumu County this December.
HEA_00143,Health,Ministry of Health calls on parents in Taita-Taveta County to have children under five screened for tuberculosis during the May outreach.
HEA_00144,Health,KEMRI calls on parents in Kirinyaga County to have children under five screened for meningitis during the November outreach.
HEA_00145,Health,Notice: Ministry of Health - Reproductive Health Unit confirms a HIV/AIDS outbreak alert for Bomet County. Residents are advised to avoid contact with contaminated water sources.
HEA_00146,Health,Public health advisory: Division of Disease Surveillance and Response warns of increased Rift Valley Fever risk in Turkana County and advises the public to report any suspected cases to community health volunteers.
HEA_00147,Health,Notice: Kenya Red Cross confirms a tuberculosis outbreak alert for Kitui County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00148,Health,CDC urges residents of Kisii County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.
HEA_00149,Health,Kenya Red Cross calls on parents in Nairobi County to have children under five screened for dengue fever during the October outreach.
HEA_00150,Health,Public health advisory: Kenya Red Cross warns of increased typhoid risk in Garissa County and advises the public to complete the full recommended vaccination dose.
HEA_00151,Health,Notice: KEMSA confirms a dengue fever outbreak alert for Kirinyaga County. Residents are advised to complete the full recommended vaccination dose.
HEA_00152,Health,Notice: Ministry of Health confirms a typhoid outbreak alert for Tana River County. Residents are advised to complete the full recommended vaccination dose.
HEA_00153,Health,SHA (Social Health Authority) calls on parents in Mombasa County to have children under five screened for typhoid during the October outreach.
HEA_00154,Health,Ministry of Health - Reproductive Health Unit calls on parents in Nandi County to have children under five screened for measles during the June outreach.
HEA_00155,Health,Kenya Red Cross urges residents of Laikipia County to avoid contact with contaminated water sources following a rise in reported malaria cases.
HEA_00156,Health,SHA (Social Health Authority) calls on parents in Kakamega County to have children under five screened for cholera during the November outreach.
HEA_00157,Health,KEMSA reminds the public that free malaria screening is available at all public health centres in Kakamega County this May.
HEA_00158,Health,SHA (Social Health Authority) reminds the public that free meningitis screening is available at all public health centres in Bomet County this July.
HEA_00159,Health,Public health advisory: KEMRI warns of increased Rift Valley Fever risk in Kajiado County and advises the public to avoid contact with contaminated water sources.
HEA_00160,Health,Notice: Kenya Medical Association confirms a meningitis outbreak alert for Kirinyaga County. Residents are advised to seek immediate testing at the nearest health facility.
HEA_00161,Health,Public health advisory: SHA (Social Health Authority) warns of increased tuberculosis risk in Embu County and advises the public to report any suspected cases to community health volunteers.
HEA_00162,Health,KEMSA urges residents of Machakos County to seek immediate testing at the nearest health facility following a rise in reported dengue fever cases.
HEA_00163,Health,Ministry of Health reminds the public that free meningitis screening is available at all public health centres in Uasin Gishu County this August.
HEA_00164,Health,Kenya Red Cross calls on parents in Kilifi County to have children under five screened for typhoid during the April outreach.
HEA_00165,Health,Notice: Ministry of Health - Reproductive Health Unit confirms a tuberculosis outbreak alert for Lamu County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00166,Health,Public health advisory: KEMRI warns of increased dengue fever risk in Elgeyo-Marakwet County and advises the public to complete the full recommended vaccination dose.
HEA_00167,Health,Kenya Red Cross reminds the public that free cholera screening is available at all public health centres in Marsabit County this February.
HEA_00168,Health,Kenya Red Cross reminds the public that free meningitis screening is available at all public health centres in Bungoma County this December.
HEA_00169,Health,Notice: Ministry of Health - Reproductive Health Unit confirms a typhoid outbreak alert for Wajir County. Residents are advised to avoid contact with contaminated water sources.
HEA_00170,Health,Notice: CDC confirms a Rift Valley Fever outbreak alert for Kericho County. Residents are advised to seek immediate testing at the nearest health facility.
HEA_00171,Health,Public health advisory: Ministry of Health warns of increased HIV/AIDS risk in Elgeyo-Marakwet County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00172,Health,Notice: Ministry of Health confirms a meningitis outbreak alert for Taita-Taveta County. Residents are advised to use insecticide-treated mosquito nets every night.
HEA_00173,Health,Kenya Red Cross urges residents of Kakamega County to avoid contact with contaminated water sources following a rise in reported measles cases.
HEA_00174,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased meningitis risk in Nyandarua County and advises the public to avoid contact with contaminated water sources.
HEA_00175,Health,SHA (Social Health Authority) calls on parents in Laikipia County to have children under five screened for cyclosporiasis during the June outreach.
HEA_00176,Health,Notice: Division of Disease Surveillance and Response confirms a measles outbreak alert for Homa Bay County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00177,Health,Ministry of Health - Reproductive Health Unit calls on parents in Nyeri County to have children under five screened for cyclosporiasis during the November outreach.
HEA_00178,Health,Public health advisory: Ministry of Health warns of increased HIV/AIDS risk in Baringo County and advises the public to report any suspected cases to community health volunteers.
HEA_00179,Health,Notice: SHA (Social Health Authority) confirms a cholera outbreak alert for Trans Nzoia County. Residents are advised to use insecticide-treated mosquito nets every night.
HEA_00180,Health,Kenya Medical Association calls on parents in Tana River County to have children under five screened for dengue fever during the April outreach.
HEA_00181,Health,Notice: Ministry of Health - Reproductive Health Unit confirms a cholera outbreak alert for Siaya County. Residents are advised to complete the full recommended vaccination dose.
HEA_00182,Health,Notice: CDC confirms a Rift Valley Fever outbreak alert for Mandera County. Residents are advised to avoid contact with contaminated water sources.
HEA_00183,Health,Ministry of Health urges residents of Siaya County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.
HEA_00184,Health,Notice: CDC confirms a cyclosporiasis outbreak alert for Mombasa County. Residents are advised to seek immediate testing at the nearest health facility.
HEA_00185,Health,SHA (Social Health Authority) reminds the public that free measles screening is available at all public health centres in Baringo County this February.
HEA_00186,Health,Kenya Red Cross calls on parents in Narok County to have children under five screened for typhoid during the December outreach.
HEA_00187,Health,Ministry of Health - Reproductive Health Unit calls on parents in Laikipia County to have children under five screened for Rift Valley Fever during the April outreach.
HEA_00188,Health,Public health advisory: KEMSA warns of increased meningitis risk in Samburu County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00189,Health,SHA (Social Health Authority) reminds the public that free HIV/AIDS screening is available at all public health centres in Nyandarua County this July.
HEA_00190,Health,Public health advisory: Kenya Red Cross warns of increased typhoid risk in Mombasa County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00191,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased dengue fever risk in Marsabit County and advises the public to avoid contact with contaminated water sources.
HEA_00192,Health,Notice: Division of Disease Surveillance and Response confirms a cyclosporiasis outbreak alert for Bomet County. Residents are advised to avoid contact with contaminated water sources.
HEA_00193,Health,Notice: KEMRI confirms a meningitis outbreak alert for Kisii County. Residents are advised to avoid contact with contaminated water sources.
HEA_00194,Health,Kenya Medical Association reminds the public that free Rift Valley Fever screening is available at all public health centres in Kilifi County this June.
HEA_00195,Health,Kenya Medical Association calls on parents in Homa Bay County to have children under five screened for measles during the November outreach.
HEA_00196,Health,Ministry of Health calls on parents in Mandera County to have children under five screened for meningitis during the September outreach.
HEA_00197,Health,Notice: SHA (Social Health Authority) confirms a dengue fever outbreak alert for Nandi County. Residents are advised to avoid contact with contaminated water sources.
HEA_00198,Health,KEMSA urges residents of Uasin Gishu County to seek immediate testing at the nearest health facility following a rise in reported measles cases.
HEA_00199,Health,Kenya Red Cross calls on parents in Kiambu County to have children under five screened for cyclosporiasis during the October outreach.
HEA_00200,Health,Division of Disease Surveillance and Response urges residents of Migori County to report any suspected cases to community health volunteers following a rise in reported cyclosporiasis cases.
HEA_00201,Health,CDC calls on parents in Kilifi County to have children under five screened for malaria during the October outreach.
HEA_00202,Health,Kenya Red Cross reminds the public that free malaria screening is available at all public health centres in Kitui County this December.
HEA_00203,Health,SHA (Social Health Authority) calls on parents in Siaya County to have children under five screened for malaria during the December outreach.
HEA_00204,Health,KEMSA calls on parents in Kisii County to have children under five screened for cholera during the May outreach.
HEA_00205,Health,Division of Disease Surveillance and Response urges residents of Tana River County to report any suspected cases to community health volunteers following a rise in reported HIV/AIDS cases.
HEA_00206,Health,KEMSA calls on parents in Machakos County to have children under five screened for cyclosporiasis during the September outreach.
HEA_00207,Health,Public health advisory: KEMSA warns of increased malaria risk in Isiolo County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00208,Health,KEMRI calls on parents in Nakuru County to have children under five screened for measles during the October outreach.
HEA_00209,Health,Ministry of Health - Reproductive Health Unit reminds the public that free Rift Valley Fever screening is available at all public health centres in Siaya County this May.
HEA_00210,Health,Notice: Ministry of Health confirms a dengue fever outbreak alert for Baringo County. Residents are advised to complete the full recommended vaccination dose.
HEA_00211,Health,Ministry of Health - Reproductive Health Unit urges residents of Turkana County to avoid contact with contaminated water sources following a rise in reported typhoid cases.
HEA_00212,Health,Notice: Ministry of Health - Reproductive Health Unit confirms a cyclosporiasis outbreak alert for Kirinyaga County. Residents are advised to avoid contact with contaminated water sources.
HEA_00213,Health,KEMRI urges residents of Samburu County to use insecticide-treated mosquito nets every night following a rise in reported HIV/AIDS cases.
HEA_00214,Health,Notice: Kenya Red Cross confirms a cyclosporiasis outbreak alert for Kwale County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00215,Health,Ministry of Health urges residents of Bungoma County to report any suspected cases to community health volunteers following a rise in reported Rift Valley Fever cases.
HEA_00216,Health,Division of Disease Surveillance and Response reminds the public that free tuberculosis screening is available at all public health centres in Kitui County this November.
HEA_00217,Health,Public health advisory: Kenya Red Cross warns of increased measles risk in Migori County and advises the public to seek immediate testing at the nearest health facility.
HEA_00218,Health,Kenya Red Cross urges residents of Nandi County to report any suspected cases to community health volunteers following a rise in reported meningitis cases.
HEA_00219,Health,SHA (Social Health Authority) reminds the public that free cyclosporiasis screening is available at all public health centres in Nyeri County this June.
HEA_00220,Health,KEMRI reminds the public that free HIV/AIDS screening is available at all public health centres in Mandera County this September.
HEA_00221,Health,Public health advisory: CDC warns of increased typhoid risk in Nyandarua County and advises the public to avoid contact with contaminated water sources.
HEA_00222,Health,Notice: Division of Disease Surveillance and Response confirms a malaria outbreak alert for Wajir County. Residents are advised to complete the full recommended vaccination dose.
HEA_00223,Health,Kenya Medical Association reminds the public that free malaria screening is available at all public health centres in Bomet County this June.
HEA_00224,Health,Ministry of Health calls on parents in Makueni County to have children under five screened for malaria during the September outreach.
HEA_00225,Health,Division of Disease Surveillance and Response calls on parents in Migori County to have children under five screened for typhoid during the December outreach.
HEA_00226,Health,Public health advisory: Kenya Medical Association warns of increased malaria risk in Siaya County and advises the public to complete the full recommended vaccination dose.
HEA_00227,Health,Ministry of Health calls on parents in Busia County to have children under five screened for HIV/AIDS during the September outreach.
HEA_00228,Health,Public health advisory: KEMRI warns of increased Rift Valley Fever risk in Kisumu County and advises the public to report any suspected cases to community health volunteers.
HEA_00229,Health,SHA (Social Health Authority) calls on parents in Mandera County to have children under five screened for cholera during the January outreach.
HEA_00230,Health,Notice: Ministry of Health - Reproductive Health Unit confirms a tuberculosis outbreak alert for Wajir County. Residents are advised to use insecticide-treated mosquito nets every night.
