src_text,tgt_text,src_code,tgt_code,PSA_ID,Domain
"Walimu wapya 3,000 wenye mahitaji maalum waliotumwa ""mtoto wako anapata usaidizi kutoka Jan!","Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru, omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!",swh_Latn,,23,Education
Pata elimu! Waandikishe watoto wafugaji katika shule zinazohamishika.,Access education! Enroll pastoralist children in mobile schools.,swh_Latn,,28,Education
Fikia EduTV kupitia Kenya Education Cloud kila siku.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,swh_Latn,,29,Education
Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,swh_Latn,,31,Education
Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia lango la shule.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,swh_Latn,,32,Education
"Fikia matokeo ya KPSEA kupitia lango la shule kuanzia Desemba 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,swh_Latn,,33,Education
Pata matokeo kupitia lango la shule kuanzia Desemba 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,swh_Latn,,35,Education
Maandishi ya kisheria yanayopatikana kwa urahisi kwa wanafunzi na umma,nyora ebitabu biamachiko ase baria bagosoma amo neamate,swh_Latn,,36,Education
Vituo vya elimu ya watu wazima vitafunguliwa tena Januari 13 jiandikishe bure katika shule yoyote ya msingi ya umma.,Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ register free at any public primary school.,swh_Latn,,38,Education
Madarasa ya kusoma na kuandika ya watu wazima yataanza tena Januari 13 jiandikishe bure katika ofisi ya mkuu wa shule sasa!,"Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani chitariki 13, erike bosa ase ofisi yomogambi bono!",swh_Latn,,39,Education
Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,swh_Latn,,42,Education
Wote wanaweza kujifunza! Tumia braille na ramps kwa wanafunzi walemavu.,bonsi nabo barasome!Tumia ebitabu biria biemeuko and nebinto birai biogwerirera ase abana bari bare noborema bwogotara,swh_Latn,,43,Education
Bwenzi wote lazima wawe na njia za dharura za kutokea - ukaguzi unaanza Desemba 1!,"chinyomba chiokorara chionsi goika chibe nemerangu ya nyuma gogotamera ekero kiobong’u, omoroberio korora ng’a ayio aikeranigwe nochake etariki eyemo omotienyi 12",swh_Latn,,44,Education
Wanafunzi wote wa kidato cha 3 lazima wajiandikishe kama wapiga kura wiki hii - hakuna visingizio!,abana besecondari bafomu 3 goika berike buna abaaki chikura ewiki eye getamero getaiyo,swh_Latn,,45,Education
Wanafunzi wote wa kidato cha nne lazima wajiandikishe kama wapiga kura kabla ya kuondoka shuleni - maagizo ya IEBC.,Abana besekondari bekerasi kia inye goika babe berikire koba abbaki chikura batrarua esukuru,swh_Latn,,46,Education
"Wanafunzi wote wa vyuo vikuu vya umma watapata vifurushi vya data bila malipo kwa ajili ya kujifunza mtandaoni ""Washirika wa Safaricom.""",Abana bonsi bechiyufasiti chieserikari banyore chibandoro chia bosa gokonya amasomo abo goetera etekinorochia,swh_Latn,,48,Education
"Watoto wote wakimbizi nchini Kenya watajiunga na shule za umma kuanzia Januari ""hakuna ada.""","Abana binsi ba baria batamete chinse chiabo aiga Kenya basoe chisukuru chiserikari gochakera omotienyi omoyia, kende getari goakanwa.",swh_Latn,,49,Education
Watahiniwa wote waliosajiliwa lazima waonekane kwenye rejista ya mahudhurio.,abana bariria bonsi bagochi gokora amatemwa goika barorekane ase egetabu,swh_Latn,,50,Education
"Shule zote zitapokea Ksh 10M kwa ajili ya kuboresha ICT ""Mkuu wa shule lazima aombe ifikapo Novemba 30!",chisukuru chionsi nkonyora chire chimirioni 10 ase ogoikerania yoboererania bwamang’ana abarimu abanene goika babe batomire ogosaba nyuma yechitariki 30 chiomotienyi 11!,swh_Latn,,51,Education
Shule zote zapata ruzuku ya maabara ya kidijitali ya Ksh 2M ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ mkuu wa shule lazima aombe ifikapo Ijumaa.,"chisukuru chionsi nkonyora chire ogokonywa gwechimirioni 2 chikoagacha chinyomba chigedichitari, toma ogosaba kwogokonywa okwo nyuma yechitariki 15 omotienyi 12",swh_Latn,,53,Education
Shule zote zapata Ksh 5M kwa ajili ya ukuta wa mzunguko + lango ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ kazi zinaanza Januari!,"chisukuru chionsi nkonyora chire chimirioni 5 ase okoagacha chindwaki nebiita, emermo eye nigo erachake omotienyi omotang’ani",swh_Latn,,54,Education
Shule zote zapata Ksh 5M kwa ajili ya uboreshaji wa maabara ya sayansi ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ tuma maombi kabla ya Desemba 5!,"chisukuru chionsi nkonyora chire chimirioni 5 ase okoagacha chinyomba chiobosayansi, toma ogosaba kwao nyuma yechitariki 5 chiomotienyi 12",swh_Latn,,55,Education
Shule zote zaweka CCTV + kuajiri walinzi ifikapo Desemba 31 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Maagizo ya Wizara au tutalazimika kufungwa!,"Chisukueru chionsi goika chibe chiabekire ebinto bikomongera amang'ana (CCTV) na korika abarendi nyuma yechitariki 30 chiomotienyi 12, Omominisita bwechisemi orure ochika onye tari bo chisukuru echio chisiekwe!",swh_Latn,,56,Education
"Shule zote lazima zifanye mazoezi ya kuzima moto kabla ya Desemba 20 ""hakuna visingizio!"" Hakuna visingizio!",chisukuru chionsi goika chibe chiabekire emeroberio emiya yogotanga ogwateka kwemerero nyuma yechitariki 20 chiomotienyi 12,swh_Latn,,57,Education
"Shule zote lazima zichunguzwe kwa TB kabla ya kufungua tena ""upimaji wa bure"" unaanza Jumatatu!","Chisukuru chionsi goika chirenge abana igoro yegekuba ekenene chitaraigora, okorenga kwabosa ngochaka kore etuich rimo!",swh_Latn,,59,Education
"Walimu wote wanapata uboreshaji wa bima ya matibabu bila malipo ""NHIF"" hadi kifurushi kamili Januari 1!",abarimu bonsi banyore okomentwa gwechibesa chiobobwenia bwa NHIF chionsi amo nyuma yetariki eyemo yomotienyi bweritangani,swh_Latn,,60,Education
"Wanafunzi wote wa TTC lazima wamalize moduli ya elimu ya uraia kabla ya kuhitimu ""agizo la KICD"".","Abarimu baria bagosomera obwarimu goika babe bakorire amasomo yobogesaku nyuma batakora korwa chikorechi chiabo, ogochika korwa KICD.",swh_Latn,,61,Education
Wahitimu wote wa TVET wamehakikishiwa mafunzo ya muda ya miezi 6 yanayolipiwa kuanzia Januari 2026.,Abarimu baria bakorire amasomo yobobundi nechisemi chiokwegendereria baenekeriigwe konyora omosara bwemetienyi 6 yechingaki chiokwegera gosomia gochakera omotienyi bweritang'ani 2026.,swh_Latn,,62,Education
"Wanafunzi wote wa TVET wanapata posho ya Ksh 10,000 ya kila mwezi + kompyuta mpakato bila malipo kuanzia Januari!","abarimu bonsi besekenderi yanse bagosomia obobundi nechisemi chiokwendereria (TVET) banyore chisiringi 10,000 kera omotienyi chiogwekonyera amo nechikombiuta chia koboko nyuma yomotienyi omotang’ani",swh_Latn,,63,Education
"Wanafunzi wote wa TVET wanapata posho ya kila mwezi ya Ksh 8,000 kuanzia Januari thibitisha kwanza kujiunga!","Abana bonsi baria bakwegera obobundi nechisemi chiokwegendereria (TVET) banyore chirifu 8,000 kera omotienyi chiogwekinyera gochakera omotiweny omotang'ani, koramanya ogoitabwa gosoa ritangani!",swh_Latn,,64,Education
"Wanafunzi wote wa TVET watapata posho ya Ksh 7,000 kila mwezi kuanzia Januari.","abarimu baria binsi bkwegerigwa gosomia baakanwe 7,000 kera omotieny bekonyere nechikombiuta chiokoboko chiokwegeria gosomia tekinorochia nyuma ya yomotienyi omtang’ani 2026",swh_Latn,,66,Education
Wanafunzi wote wa vyuo vikuu wanapata kifurushi cha data cha 50GB bila malipo â€šÂ¢â€šÂ¬Ã¢â‚¬Å“ anzisha kwa barua pepe ya .ac.ke sasa!,Abana bonsi beyunifasiti banyore chidata 50GB chiabosa ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ activate with .ac.ke email now!,swh_Latn,,68,Education
Programu inaangazia michezo ya mantiki kulingana na mada za kiraia,omoroberio bwekombiuta okworekereria chigosori erio gokonya abana gosoma igoro yobogesaku,swh_Latn,,71,Education
Programu inatoa pointi za kujifunza na kuripoti,Omoroberio oyo nigo okorwa ayarengete amaosomo na komanyia,swh_Latn,,72,Education
Tuma maombi ya ufadhili wa TVET ifikapo Machi 15 kupitia HELB.,Toma ogosaba kwao gochia chisukuru chiria chiobobundi nechisemi chiokwegendereria (TVET) onyore chibesa chiogosoma goetera ekeombe keria gekorwa chibesa gokonya abana ba amasomo aigoro (HELB),swh_Latn,,75,Education
"Tuma maombi ya ufadhili wa TVET ifikapo Machi 15, 2025.",Toma ogosaba kwao gochia chisukuru chiria chiobobundi nechisemi chiokwegendereria (TVET) onyore chiogosoma goetera ekeombe keria gekorwa chibesa gokonya abana ba amasomo aigoro (HELB) nyuma yechitariki 15 chiomotienyi 3 omwaka o 2025,swh_Latn,,76,Education
Wasanii wanaonyesha hadithi za haki ya kiraia,Abegi nkwegia bare goetera chigosori chiabo igoro buna oboronge bwoboamate bobwenerete obuya ase bonsi,swh_Latn,,78,Education
Hudhuria jukwaa la CBC Februari 20 katika ukumbi wa kaunti.,ikerania goika ase ebikaranso bia amasomo CBC chitariki 20 chiomotienyi 2 abwo ase chinyoba chiebikaranso biekaonti,swh_Latn,,83,Education
Hudhuria jukwaa la CBC mnamo Februari 20 katika ukumbi wa kaunti.,ikerania goika ase ebikaranso bia amasomo CBC chitariki 20 chiomotienyi 2 abwo ase chinyoba chiebikaranso biekaonti,swh_Latn,,84,Education
Ukaguzi wa fedha za shule kwa uwazi 2023.,85 rigereria ebitabu biechibesa komanya gose chibesa mbuya chigokora emeremo maiso marore,swh_Latn,,85,Education
Ukaguzi wa shule! Hakikisha kufuata viwango vya usalama wa moto.,Rigia komanya buna chisukuru chigendererete! Ikerania ayabwenerete gokorwa gotanga ogwateka kwemerero,swh_Latn,,86,Education
Rudi shuleni! Jiunge na programu za uokoaji wa mafuriko kwa ajili ya kujifunza salama.,koirana esukuru! Soa omoroberio bwokoreta ogokonywa ase baria banyoretwe nomochando bwetoigo erio gotanga emebasekano buna eyio naende erio amasomo agenderere buya.,swh_Latn,,88,Education
Kijitabu cha Takwimu za Elimu ya Msingi 2020 kimetolewa.,Ebitabu bikworokereria Amasomo Oboroso 2020 biasokire,swh_Latn,,89,Education
"Kuwa mwangalifu! Shule, dhibiti fedha kwa uwazi.","Kabe omotenneeri omuya! Chisukuru,renda chibesa na kabe maiso marore",swh_Latn,,90,Education
"Kuwa mwangalifu! Jamii, ripoti hatari za usafirishaji haramu kwa 116.","Renda kegima! Ebinyoro, karwe amang’ana gotanga okoibwa kwa abana goetera 116.",swh_Latn,,91,Education
Kuwa tayari! Fanya mazoezi ya mara kwa mara ya usalama wa moto shuleni.,"Kabe nomoroberio na botambe kweger chinchera chiobosala chia bwango korusia abana, abarimu na abakori emero isiko yesukuru abwo ase omorero ogwoka",swh_Latn,,96,Education
Kuwa mwangalifu! Ripoti udanganyifu wa ada ya shule kwa mamlaka.,Kabe nobong’aini. Manyia abatenereri bechisukuru igoro yoboibi bwechibesa chiesukuru .,swh_Latn,,100,Education
"Inakuwa Chuo Kikuu cha Ufundi cha Mombasa, kinachotoa TVET ya kisasa.","Yabeire Uyunifasity Yobobundi Nechisemi Chiokwegendereria ya Mombasa, egosomia amasomo abono a TVET.",swh_Latn,,101,Education
Ongeza STEM! Kukuza sayansi na teknolojia shuleni.,chinde ase chingongo chai ime buna kitui.,swh_Latn,,102,Education
Ziba pengo! Jenga shule zaidi katika maeneo ya vijijini kama Kitui.,Keania ogotareng'ana ase chisemi! Gesa chisukuru Karwe ebikireri biegedichitari as abana bare noborema.,swh_Latn,,103,Education
Ziba pengo! Toa zana za kidijitali kwa wanafunzi walemavu.,Keania ogotareng'ana. Karwe ebigokonya abana goikera etkinorochia.,swh_Latn,,104,Education
Matangazo yaliyobinafsishwa kwa kila mkoa,Okoraria korengete chingongo,swh_Latn,,105,Education
Jenga shule bora! Wekeza katika madarasa na vifaa.,Agacha chisukuru chingiya! Segeta emeroberio yoboagachi ase chingongo chinyomo.,swh_Latn,,106,Education
Jenga shule bora! Saidia miradi ya miundombinu katika mikoa ya ASAL.,Agacha chinyomba chiokorara chiesukuru chiria abana benyete ime omwaka 2022.,swh_Latn,,107,Education
Jenga mabweni ya shule za bweni 2022.,Agacha chisemi! Rosia chinyomba chiogosomera kera esukuru.,swh_Latn,,108,Education
Jenga maarifa! Anzisha maktaba katika kila shule.,Menta koagacha ebirasi bia abana bagosomera omwaka 2022.,swh_Latn,,109,Education
Jenga kwa usalama! Sakinisha miundo ya shule inayostahimili mafuriko.,Baagahe mochando otaiyo! Barosie amaagacho akonyara koremereria etoigo.,swh_Latn,,112,Education
Jenga ujuzi! Jiandikishe katika programu za mafunzo ya ujenzi.,Kinia chisemi! Erike ase omoroberio bwoboagachi.,swh_Latn,,113,Education
Jenga vituo vya rasilimali za walimu 2022.,Agacha chinyomba ase abaarimu bakonyora chisemi omwaka o 2022.,swh_Latn,,114,Education
Jenga mustakabali wako! Jiunge na programu za TVET kwa ujuzi wa kiufundi.,Agacha obogima bwamotwe bwao! Soa omoroberio bwobundi nechisemi chiokwegendereria .,swh_Latn,,115,Education
Lango la maombi ya ufadhili wa masomo sasa limefunguliwa kwa wanafunzi wenye uhitaji katika kaunti zote 47.,Egekoreri giokorwa chibesa gonya baria bigosoma oigoirwe bono as abana baria bare nokogania ime yechikaonti 47 chionsi.,swh_Latn,,116,Education
Tahadhari ya ulaghai wa ufadhili wa masomo: Tuma maombi kupitia lango rasmi za kaunti pekee puuza matapeli wa WhatsApp.,"Oboibi bwechibesa chiogosomera: Saba chibesa echi goetera portals yekaonti, ombia obongainereria korwa baria ba WhatsApp!",swh_Latn,,118,Education
Sherehekea hatua muhimu za elimu 2025.,Gokera ayaikeranigwe ase chisemi 2025.,swh_Latn,,124,Education
Sherehekea Siku ya Walimu 2025.,Gokera rituko riabarimu 2025.,swh_Latn,,125,Education
Wasimamizi wa Vituo na Wasimamizi lazima wajiandikishe kwenye mfumo wa CP2.,Abateneneri bechisenta chiamatemu nabanene babo goika berika ase omoroberio o CP2.,swh_Latn,,126,Education
Vilabu vya elimu ya kiraia ni lazima katika shule zote za upili kuanzia 2026.,Ebiombe igoro yobogesaku birosigwe onsi,swh_Latn,,129,Education
Mtihani wa elimu ya uraia uvujaji mtandaoni ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pakua toleo rasmi kutoka KNEC kabla ya zile bandia kusambaa!,"Amatemwa yobogesaku nigo akoiberwa embeo igoro, nyora amatemwa abeene goetera KNEC nyuma yamatemwa oborimo gosarera!",swh_Latn,,131,Education
Mtihani wa elimu ya uraia umepangwa Desemba 5 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pakua madokezo ya bure kutoka lango la KICD leo.,"Amatemwa yobogesaku abekirwe chitariki 5 chiomotienyi 12, nyora amasakara ekkene arakorae ase amatemwa korwa KICD rero.",swh_Latn,,132,Education
Elimu ya uraia sasa 25% ya darasa la mwisho la Daraja la 9 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ soma au ushindwe!,"Amatemwa obogesaku bono 25% besukuru yesekondari ya inse 9 okorengwa kwomoerio, soma gose ogwe!",swh_Latn,,133,Education
Elimu ya uraia sasa 30% ya alama ya mwisho ya Daraja la 9 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pakua madokezo ya bure kutoka KICD TODAY!,"Amasomo igoro yobogesaku 30% ase abana bekerasi gia 9 amatemwa omoerio, nyora amasakara ogosoma a bosa korwa KICD RERO!",swh_Latn,,134,Education
Elimu ya uraia sasa ni somo la lazima katika vyuo vyote vya mafunzo ya ualimu.,Amasomo obogesaku bono nayekebetererio ase chikorechi chibwarimu chionsi.,swh_Latn,,136,Education
"Safisha shule, wanafunzi wenye afya njema! Dumisha usafi wa mazingira ili kuzuia kipindupindu.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa.",swh_Latn,,138,Education
Vilabu vyaandaa uchaguzi wa majaribio na mijadala,Ebiombe biesukuru nkoba bire nokwegia kwobochori amo nechinkwana.,swh_Latn,,139,Education
Weka alama ya mustakabali wako! Jifunze ujuzi wa TEHAMA katika programu za ufundi.,Agacha na beka chinguru obogima bwao bwa motwe! Egera igoro yechinchera chiokomanyia na kogacha amang'ana (IT) ase omoroberio bwechikorechi chiechisemi.,swh_Latn,,141,Education
Katuni iliyotafsiriwa katika lugha 3,Enkwana ase ebiorokererio yaonchoirwe ase emenwa yebisaku bitato,swh_Latn,,143,Education
"Jamii, kuwa macho! Ripoti vitisho vya ugaidi karibu na shule.","Ebinyoro, kabe maiso! Karwe amang'ana igoro yobosaria gochia schools.",swh_Latn,,144,Education
"Jamii, saidia shule! Changieni malipo ya ada.","Ebinyoro, sira chisukuru. Ekeranio ayio ase ogoakana esukuru fisi.",swh_Latn,,146,Education
Fanya ukaguzi wa nishati 2024.,kabe nomoroberio bwokomanya buns omorero gose esitima egotumeka 2024.,swh_Latn,,147,Education
Fanya uandikishaji wa wanafunzi 2025.,Kora emeroberio yokorika abana 2025.,swh_Latn,,148,Education
Fanya ukaguzi wa usawa 2023.,Kora omoroberio bwokomanya oboreng'ananu 2023.,swh_Latn,,149,Education
Fanya mazoezi ya zimamoto shuleni 2020.,Kebe nomoroberio bwokomanya buna omorero gose esitima egotumeka gotanga ogwateka kwomorero esukuru 2020.,swh_Latn,,150,Education
Fanya mikutano ya wazazi na walimu mara mbili kwa mwaka.,Kabe nomoroberio bwokorenta abaibori na abarimu amo ase chinkwana arakabere ase omwaka,swh_Latn,,153,Education
Fanya ukaguzi wa usalama katika shule za bweni ifikapo Septemba 30.,Kabe nomoroberio yokobeka oborendi obuya ase chisukuru chiria abana bamenyete ime nyuma yechitariki 30 omotienyi 9.,swh_Latn,,154,Education
Fanya ukaguzi wa usalama kwa kutumia Mwongozo wa 2008 ifikapo Septemba 30.,Kabe nomoroberio omuya bwoborendi goetera egatabu kiamaorokererio kia omwaka 2008 nyuma yechitariki 30 chiomotienyi 9.,swh_Latn,,155,Education
Fanya ukaguzi wa shule kwa usalama 2024.,Kabe nomoroberio bwokomanya oborendi bwesukuru omwaka 2024.,swh_Latn,,156,Education
Fanya mafunzo ya usimamizi wa taka 2024.,Kbe nomoroberio bwokwegeria buna ogosangereria eubi 2024.,swh_Latn,,157,Education
Ungana ili ujifunze! Toa Wi-Fi ya bure shuleni.,Bwatana na abana bari bagosoma! Karwe omoroberio obosa bweintaneti ase chisukuru.,swh_Latn,,159,Education
Endelea kujifunza! Saidia shule zilizo katika maeneo ya ukame.,Genderera gosoma! Konya chisukuru chiria chire ase chingongo chinyomo.,swh_Latn,,160,Education
Sahihisha maelezo kwenye lango la CBA sasa.,Amang'ana amaikeranu bono igoro yechisemi chiria chirengete okwenya gwa kera omwana nao chire ase (CBA) bono.,swh_Latn,,161,Education
Sahihisha maelezo kwenye lango la CBA ili kuepuka kufutwa.,Amang'ana amaikeranu echisemi chiria chirengete okwenya gwa kera omwana nao are CBA erio gotanga okoiyerigwa amatemu.,swh_Latn,,162,Education
Vilabu vya demokrasia lazima vikutane kila wiki agizo la Wizara likianza kutumika mara moja!,Ebiombe biokoegerera obogambi obuya goika bikoreke kera ewiki buna yachikirwe nominisita bwechisemi gochaka kegima!,swh_Latn,,187,Education
"Naibu Rais William Ruto siku ya Jumatano aliamuru Wizara ya Elimu kununua jenereta mpya kwa ajili ya Chuo cha Wakufunzi wa Ufundi cha Kenya (KTTC). Agizo hilo la Ruto lilikuja baada ya hotuba yake, w...","Omokonyi bwomogambi omonene William Ruto etichi gatato akarwa ogochika ng'a eministiri yechisemi egorere chisukuru chionsi chiobobundi buna Kenya Technical Trainers College (KTTC) chichenereta chinyia. Ogochika oko kwa Ruto nogo gwachete motwe yenkwana yaye, w...",swh_Latn,,189,Education
Tengeneza rubriki za tathmini 2022.,Rosia ebinto biokorenga amasomo abana boronge 2022.,swh_Latn,,191,Education
Tengeneza zana za tathmini 2021.,Rosia ebokorero biokorenga 2021.,swh_Latn,,192,Education
Tengeneza vitabu vya kielektroniki 2021.,Rosia ebitabu biegetekinorochia 2021.,swh_Latn,,193,Education
Tengeneza vifaa vya michezo 2021.,Rosia aseagokorerwa chigosori 2021.,swh_Latn,,194,Education
Tengeneza masomo ya VR 2021.,Rosia amasomo are nebiorokererio biechibicha 2021.,swh_Latn,,195,Education
Inaonyesha michezo ya katuni za kiraia na maadili,Gekworokia amasomo obogesaku ase chibicha.,swh_Latn,,197,Education
Samba vitabu vya kiada bila malipo kwa wanafunzi wote 2022.,Karwe ebitabu biogosoma bosa ase abana bonsi 2022.,swh_Latn,,198,Education
Samba taulo za usafi kwa wasichana 2020.,Karwe ebitambaa biria biobochenu chingaki chia abang'ina ase chinyaroka 2020.,swh_Latn,,199,Education
Inasambazwa kupitia vibanda na WhatsApp,Chikorugwa goetera ebiosiki na WhatsApp,swh_Latn,,200,Education
Fanya sehemu yako! Wafundishe wanafunzi kuhusu majukumu ya kiraia.,Kora ensemo yao! Somia abana igoro yamasomo yobegasaku neki kebwenerete gokorwa.,swh_Latn,,201,Education
Pakua vifaa vya mtaala wa CBC mtandaoni.,Nyora omoroberio bwamasomo aria arengete okwenyara gwa kera omwana (CBC) goetra tekinorochia.,swh_Latn,,202,Education
Pakua ratiba ya KCSE 2025 kutoka kwa lango la KNEC ifikapo Oktoba 1.,Nyora omoroberio buna amatemwa esekenderi KCSE 2025 arakorwe korwa ekeombe keria ekenene getenerete amatemwa (KNEC) nyuma yetariki 1 omtienyir 10.,swh_Latn,,204,Education
Pakua karatasi za sampuli za KCSE kutoka kwa lango la KNEC.,Nyora ebikworokereria amatemwa amatemwa esekenderi (KCSE) korwa ekeombe keria ekenene getenerete amatemwa (KNEC).,swh_Latn,,205,Education
Pakua ratiba ya KCSE kutoka kwa lango la KNEC.,Nyora omoroberio bwamatemwa yesekenderi (KCSE) korwa keombe keria ekenene getenerete amatemwa (KNEC).,swh_Latn,,206,Education
Pakua ratiba ya KCSE kutoka kwa lango la KNEC.,Nyora ebikworokereria amatemwa amatemwa esekenderi ya inse (KJSEA) korwa ekeombe keria keyatenenerete gia (CBA) bono.,swh_Latn,,207,Education
Pakua karatasi za sampuli za KJSEA kutoka kwa lango la CBA sasa.,Nyora ebikworokereria amatemwa KJSEA samples from CBA portal now.,swh_Latn,,208,Education
Pakua karatasi za sampuli za KPSEA kutoka kwa lango la KNEC CBA sasa.,Nyora ebikworokereria amatemwa aetete a KPSEA korwa KNEC CBA bono.,swh_Latn,,209,Education
Vaa kwa ajili ya mafanikio! Omba ruzuku ya sare kwa wanafunzi wenye uhitaji.,Eganchwa yobobui! Toma ogosaba kwao kwogokeerigwa rigori kogora eyunifomu ase abana baria bateri kwenyara.,swh_Latn,,211,Education
Kunywa maji salama! Zuia kipindupindu shuleni.,Kanywe amache atabwati ebinyinyi! Tanga endwari yogosaa ase chisukuru.,swh_Latn,,212,Education
Tahadhari ya mafunzo mara mbili: Wanafunzi wote wa TVET lazima wasaini mikataba ya tasnia ifikapo Desemba 31.,Kabe maiso ng'a amasomo igoro ya ayande ara rimo achakire. Abarimu bonsi bobundi nechisemi chiokwegendereria (TVET) abana goika babeke egechara kiogwancherana kiogwancherana emeremo nyuma yechitriki 31 chiomotienyi 12.,swh_Latn,,213,Education
EACC hujenga vikundi vya walinzi wa ndani ili kupambana na rushwa katika kaunti.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) nkorosia kere nkere nabatuki baye gokemanyia na korwania obokengeka na koria amaaki ase chokaonti.,swh_Latn,,217,Education
