PSA_ID,Domain,English,English_sw
HEA_00012,Health,Notice: SHA (Social Health Authority) confirms a cyclosporiasis outbreak alert for Kitui County. Residents are advised to report any suspected cases to community health volunteers.,Taarifa: Shirika la Afya ya Jamii (SHA) linathibitisha tahadhari ya kuzuka kwa ugonjwa wa cyclosporiasis kwa Kaunti ya Kitui. Wakazi wanashauriwa kuripoti visa vyovyote vinavyoshukiwa kwa wajitoleaji wa afya ya jamii.
HEA_00013,Health,Division of Disease Surveillance and Response calls on parents in Isiolo County to have children under five screened for HIV/AIDS during the June outreach.,Idara ya Ufuatiliaji na Jibu la Magonjwa inawaomba wazazi katika Kaunti ya Isiolo kuwa na watoto chini ya miaka mitano wachunguzwe kwa ajili ya VVU/UKIMWI wakati wa huduma ya Juni.
HEA_00014,Health,Kenya Red Cross reminds the public that free malaria screening is available at all public health centres in Kisii County this November.,Msalaba Mwekundu wa Kenya unakumbusha umma kwamba uchunguzi wa malaria wa bure unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Kisii mwezi huu wa Novemba.
HEA_00015,Health,Public health advisory: KEMSA warns of increased tuberculosis risk in Kericho County and advises the public to complete the full recommended vaccination dose.,Ushauri wa afya ya umma: KEMSA inaonya juu ya kuongezeka kwa hatari ya kifua kikuu katika Kaunti ya Kericho na inashauri umma kukamilisha kipimo kamili cha chanjo kilichopendekezwa.
HEA_00016,Health,Kenya Medical Association calls on parents in Nyandarua County to have children under five screened for dengue fever during the November outreach.,Chama cha Matibabu cha Kenya kinawaomba wazazi katika Kaunti ya Nyandarua kuwachunguza watoto walio chini ya miaka mitano kwa ajili ya homa ya dengue wakati wa kampeni ya Novemba.
HEA_00017,Health,Division of Disease Surveillance and Response reminds the public that free cholera screening is available at all public health centres in Tana River County this April.,Idara ya Ufuatiliaji na Jibu la Magonjwa inakumbusha umma kwamba uchunguzi wa bure wa cholera unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Tana River Aprili hii.
HEA_00018,Health,Notice: Kenya Medical Association confirms a tuberculosis outbreak alert for Nyandarua County. Residents are advised to use insecticide-treated mosquito nets every night.,Taarifa: Chama cha Matibabu cha Kenya kinathibitisha tahadhari ya mlipuko wa kifua kikuu katika Kaunti ya Nyandarua. Wakazi wanashauriwa kutumia nyuzi za mbu zinazoshughulikiwa na dawa za wadudu kila usiku.
HEA_00019,Health,Notice: KEMRI confirms a cyclosporiasis outbreak alert for Kisumu County. Residents are advised to avoid contact with contaminated water sources.,Kumbuka: KEMRI inathibitisha tahadhari ya mlipuko wa cyclosporiasis kwa Kaunti ya Kisumu. Wakazi wanashauriwa kuepuka kuwasiliana na vyanzo vya maji vilivyochafuliwa.
HEA_00020,Health,Kenya Red Cross reminds the public that free dengue fever screening is available at all public health centres in Mandera County this April.,Msalaba Mwekundu wa Kenya unakumbusha umma kwamba uchunguzi wa bure wa homa ya dengue unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Mandera Aprili hii.
HEA_00021,Health,Public health advisory: Kenya Red Cross warns of increased meningitis risk in Vihiga County and advises the public to avoid contact with contaminated water sources.,Ushauri wa afya ya umma: Msalaba Mwekundu wa Kenya unaonya juu ya kuongezeka kwa hatari ya meningitis katika Kaunti ya Vihiga na anashauri umma waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa.
HEA_00022,Health,Notice: KEMRI confirms a Rift Valley Fever outbreak alert for Mandera County. Residents are advised to seek immediate testing at the nearest health facility.,Taarifa: KEMRI inathibitisha tahadhari ya kuzuka kwa homa ya Rift Valley kwa Kaunti ya Mandera. Wakazi wanashauriwa kutafuta upimaji wa haraka katika kituo cha afya cha karibu.
HEA_00023,Health,SHA (Social Health Authority) urges residents of Marsabit County to avoid contact with contaminated water sources following a rise in reported measles cases.,Shirika la Afya ya Jamii (SHA) linawahimiza wakazi wa Kaunti ya Marsabit waepuke mawasiliano na vyanzo vya maji vilivyochafuliwa baada ya ongezeko la visa vya kuambukizwa vya kuambukiza.
HEA_00024,Health,Public health advisory: SHA (Social Health Authority) warns of increased meningitis risk in Samburu County and advises the public to avoid contact with contaminated water sources.,Ushauri wa afya ya umma: Shirika la Afya ya Jamii (SHA) linaonya juu ya kuongezeka kwa hatari ya meningitis katika Kaunti ya Samburu na linawashauri umma waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa.
HEA_00025,Health,Public health advisory: Kenya Red Cross warns of increased malaria risk in Bomet County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: Msalaba Mwekundu wa Kenya unaonya juu ya kuongezeka kwa hatari ya malaria katika Kaunti ya Bomet na anashauri umma watumie mitungi ya mbu iliyoshughulikiwa na dawa za wadudu kila usiku.
HEA_00026,Health,Notice: Division of Disease Surveillance and Response confirms a cyclosporiasis outbreak alert for Wajir County. Residents are advised to complete the full recommended vaccination dose.,Taarifa: Idara ya Ufuatiliaji na Jibu la Magonjwa inathibitisha tahadhari ya kuzuka kwa ugonjwa wa cyclosporiasis kwa Kaunti ya Wajir. Wakazi wanashauriwa kukamilisha kipimo kamili cha chanjo kilichopendekezwa.
HEA_00027,Health,Ministry of Health calls on parents in Nairobi County to have children under five screened for typhoid during the December outreach.,Wizara ya Afya inawaomba wazazi katika Kaunti ya Nairobi kuwachunguza watoto walio chini ya miaka mitano kwa ajili ya ugonjwa wa kifua kikuu wakati wa mkutano wa Desemba.
HEA_00028,Health,Public health advisory: KEMSA warns of increased typhoid risk in Narok County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: KEMSA inaonya juu ya kuongezeka kwa hatari ya ugonjwa wa kifua kikuu katika Kaunti ya Narok na inashauri umma watumie mitungi ya mbu iliyoshughulikiwa na dawa za wadudu kila usiku.
HEA_00029,Health,Public health advisory: KEMRI warns of increased measles risk in Marsabit County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: KEMRI inaonya juu ya kuongezeka kwa hatari ya kuugua ugonjwa wa saratani katika Kaunti ya Marsabit na inashauri umma watumie mitungi ya mbu iliyotunzwa na dawa za wadudu kila usiku.
HEA_00030,Health,Public health advisory: Ministry of Health warns of increased Rift Valley Fever risk in Bungoma County and advises the public to seek immediate testing at the nearest health facility.,Ushauri wa afya ya umma: Wizara ya Afya inaonya juu ya kuongezeka kwa hatari ya homa ya Rift Valley katika Kaunti ya Bungoma na inashauri umma kutafuta upimaji wa haraka katika kituo cha afya cha karibu.
HEA_00031,Health,Division of Disease Surveillance and Response urges residents of Kirinyaga County to complete the full recommended vaccination dose following a rise in reported cholera cases.,Idara ya Ufuatiliaji na Jibu la Magonjwa inahimiza wakazi wa Kaunti ya Kirinyaga kukamilisha kipimo kamili cha chanjo kilichopendekezwa baada ya ongezeko la visa vya kipindupindu vilivyoripotiwa.
HEA_00032,Health,Public health advisory: SHA (Social Health Authority) warns of increased Rift Valley Fever risk in Taita-Taveta County and advises the public to seek immediate testing at the nearest health facility.,Ushauri wa afya ya umma: SHA (Huduma ya Afya ya Jamii) inaonya juu ya kuongezeka kwa hatari ya Rift Valley Fever katika Wilaya ya Taita-Taveta na inashauri umma kutafuta upimaji wa haraka katika kituo cha afya cha karibu.
HEA_00033,Health,Public health advisory: KEMSA warns of increased Rift Valley Fever risk in Mandera County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: KEMSA inaonya juu ya kuongezeka kwa hatari ya homa ya Rift Valley katika Kaunti ya Mandera na inashauri umma watumie mitungi ya mbu iliyoshughulikiwa na dawa za wadudu kila usiku.
HEA_00034,Health,Kenya Red Cross reminds the public that free cyclosporiasis screening is available at all public health centres in Kajiado County this October.,Msalaba Mwekundu wa Kenya unakumbusha umma kwamba uchunguzi wa bure wa cyclosporiasis unapatikana katika vituo vyote vya afya ya umma katika Kajiado County mwezi huu wa Oktoba.
HEA_00035,Health,CDC reminds the public that free tuberculosis screening is available at all public health centres in Nairobi County this December.,CDC inakumbusha umma kwamba uchunguzi wa bure wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Nairobi Desemba hii.
HEA_00036,Health,Notice: Kenya Medical Association confirms a HIV/AIDS outbreak alert for Homa Bay County. Residents are advised to avoid contact with contaminated water sources.,Taarifa: Chama cha Matibabu cha Kenya kinathibitisha tahadhari ya mlipuko wa VVU/UKIMWI katika Kaunti ya Homa Bay. Wakazi wanashauriwa waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa.
HEA_00037,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased tuberculosis risk in Wajir County and advises the public to seek immediate testing at the nearest health facility.,Ushauri wa afya ya umma: Wizara ya Afya - Kitengo cha Afya ya Kuzaa inaonya juu ya kuongezeka kwa hatari ya kifua kikuu katika Kaunti ya Wajir na inashauri umma kutafuta upimaji wa haraka katika kituo cha afya cha karibu.
HEA_00038,Health,Notice: Ministry of Health confirms a tuberculosis outbreak alert for Vihiga County. Residents are advised to use insecticide-treated mosquito nets every night.,Taarifa: Wizara ya Afya inathibitisha tahadhari ya mlipuko wa kifua kikuu kwa Kaunti ya Vihiga. Wakazi wanashauriwa kutumia nyuzi za mbu zinazoshughulikiwa na dawa za wadudu kila usiku.
HEA_00039,Health,Ministry of Health reminds the public that free cholera screening is available at all public health centres in Lamu County this December.,Wizara ya Afya inawakumbusha umma kwamba uchunguzi wa bure wa cholera unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Lamu Desemba hii.
HEA_00040,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Kilifi County this June.,Shirika la Afya ya Jamii (SHA) linakumbusha umma kwamba uchunguzi wa malaria wa bure unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Kilifi Juni hii.
HEA_00041,Health,Public health advisory: KEMRI warns of increased Rift Valley Fever risk in Nyandarua County and advises the public to complete the full recommended vaccination dose.,Ushauri wa afya ya umma: KEMRI inaonya juu ya kuongezeka kwa hatari ya homa ya Rift Valley katika Kaunti ya Nyandarua na inashauri umma kukamilisha kipimo kamili cha chanjo kilichopendekezwa.
HEA_00042,Health,Public health advisory: KEMSA warns of increased meningitis risk in Nairobi County and advises the public to avoid contact with contaminated water sources.,Ushauri wa afya ya umma: KEMSA inaonya juu ya kuongezeka kwa hatari ya meningitis katika Kaunti ya Nairobi na inashauri umma waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa.
HEA_00043,Health,Ministry of Health - Reproductive Health Unit reminds the public that free malaria screening is available at all public health centres in Uasin Gishu County this April.,Wizara ya Afya - Kitengo cha Afya ya Kuzaliana kinakumbusha umma kwamba uchunguzi wa malaria wa bure unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Uasin Gishu Aprili hii.
HEA_00044,Health,Kenya Medical Association urges residents of Turkana County to avoid contact with contaminated water sources following a rise in reported cyclosporiasis cases.,Chama cha Matibabu cha Kenya kinawahimiza wakazi wa Wilaya ya Turkana waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa baada ya ongezeko la visa vya cyclosporiasis vilivyoripotiwa.
HEA_00045,Health,SHA (Social Health Authority) urges residents of Tana River County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.,Shirika la Afya ya Jamii (SHA) linawahimiza wakazi wa Wilaya ya Tana River wapate upimaji wa haraka katika kituo cha afya cha karibu baada ya ongezeko la visa vya UKIMWI/UKIMWI vilivyoripotiwa.
HEA_00046,Health,KEMRI reminds the public that free Rift Valley Fever screening is available at all public health centres in Tharaka-Nithi County this September.,KEMRI inawakumbusha umma kwamba uchunguzi wa bure wa homa ya Rift Valley unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Tharaka-Nithi mwezi huu wa Septemba.
HEA_00047,Health,Kenya Medical Association reminds the public that free Rift Valley Fever screening is available at all public health centres in Meru County this May.,Chama cha Matibabu cha Kenya kinakumbusha umma kwamba uchunguzi wa bure wa Rift Valley Fever unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Meru Mei hii.
HEA_00048,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Nandi County this September.,Shirika la Afya ya Jamii (SHA) linakumbusha umma kwamba uchunguzi wa malaria wa bure unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Nandi Septemba hii.
HEA_00049,Health,CDC urges residents of Mombasa County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.,CDC inahimiza wakazi wa Kaunti ya Mombasa kukamilisha kipimo kamili cha chanjo kilichopendekezwa kufuatia ongezeko la visa vya kifua kikuu vilivyoripotiwa.
HEA_00050,Health,Ministry of Health - Reproductive Health Unit calls on parents in Laikipia County to have children under five screened for cyclosporiasis during the April outreach.,Wizara ya Afya - Kitengo cha Afya ya Uzazi kinawaomba wazazi katika Kaunti ya Laikipia kuwachunguza watoto walio chini ya miaka mitano kwa ugonjwa wa cyclosporiasis wakati wa shughuli za Aprili.
HEA_00051,Health,KEMSA urges residents of Samburu County to report any suspected cases to community health volunteers following a rise in reported cyclosporiasis cases.,KEMSA inawasihi wakazi wa Kaunti ya Samburu kuripoti visa vyovyote vinavyoshukiwa kwa wajitoleaji wa afya ya jamii kufuatia ongezeko la visa vilivyoripotiwa vya cyclosporiasis.
HEA_00052,Health,Kenya Red Cross calls on parents in Elgeyo-Marakwet County to have children under five screened for dengue fever during the December outreach.,Msalaba Mwekundu wa Kenya unawaomba wazazi katika Kaunti ya Elgeyo-Marakwet kuwachunguza watoto walio chini ya miaka mitano kwa ajili ya homa ya dengue wakati wa kampeni ya Desemba.
HEA_00053,Health,KEMSA calls on parents in Tharaka-Nithi County to have children under five screened for tuberculosis during the May outreach.,KEMSA inawaomba wazazi katika Kaunti ya Tharaka-Nithi kuwachunguza watoto walio chini ya miaka mitano kwa ugonjwa wa kifua kikuu wakati wa mkutano wa Mei.
HEA_00054,Health,CDC urges residents of Tana River County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.,CDC inawahimiza wakazi wa Wilaya ya Tana River kutafuta upimaji wa haraka katika kituo cha afya cha karibu baada ya ongezeko la visa vya UKIMWI / UKIMWI vilivyoripotiwa.
HEA_00055,Health,Ministry of Health - Reproductive Health Unit urges residents of Narok County to seek immediate testing at the nearest health facility following a rise in reported measles cases.,Wizara ya Afya - Kitengo cha Afya ya Uzazi kinawahimiza wakazi wa Kaunti ya Narok kutafuta upimaji wa haraka katika kituo cha afya cha karibu baada ya ongezeko la visa vilivyoripotiwa vya ugonjwa wa saratani.
HEA_00056,Health,Public health advisory: SHA (Social Health Authority) warns of increased meningitis risk in Meru County and advises the public to seek immediate testing at the nearest health facility.,Ushauri wa afya ya umma: SHA (Shirika la Afya ya Jamii) linaonya juu ya kuongezeka kwa hatari ya meningitis katika Kaunti ya Meru na inashauri umma kutafuta upimaji wa haraka katika kituo cha afya cha karibu.
HEA_00057,Health,Kenya Medical Association reminds the public that free tuberculosis screening is available at all public health centres in Wajir County this October.,Chama cha Matibabu cha Kenya kinakumbusha umma kwamba uchunguzi wa bure wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Wajir mwezi huu wa Oktoba.
HEA_00058,Health,Public health advisory: Ministry of Health warns of increased cyclosporiasis risk in Busia County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: Wizara ya Afya inaonya juu ya kuongezeka kwa hatari ya cyclosporiasis katika Kaunti ya Busia na inashauri umma kutumia nyuzi za mbu zilizotibiwa na dawa za wadudu kila usiku.
HEA_00059,Health,Public health advisory: CDC warns of increased tuberculosis risk in Murang'a County and advises the public to report any suspected cases to community health volunteers.,Ushauri wa afya ya umma: CDC inaonya juu ya kuongezeka kwa hatari ya kifua kikuu katika Kaunti ya Murang'a na inashauri umma kuripoti kesi yoyote inayoshukiwa kwa wajitolea wa afya ya jamii.
HEA_00060,Health,Kenya Red Cross reminds the public that free typhoid screening is available at all public health centres in Trans Nzoia County this March.,Msalaba Mwekundu wa Kenya unakumbusha umma kwamba uchunguzi wa bure wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Trans Nzoia mwezi huu wa Machi.
HEA_00061,Health,Division of Disease Surveillance and Response calls on parents in Lamu County to have children under five screened for Rift Valley Fever during the January outreach.,Idara ya Ufuatiliaji na Jibu la Magonjwa inawaomba wazazi katika Kaunti ya Lamu kuwa na watoto chini ya miaka mitano kuchunguzwa kwa homa ya Rift Valley wakati wa shughuli za Januari.
HEA_00062,Health,Public health advisory: SHA (Social Health Authority) warns of increased tuberculosis risk in Lamu County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: Shirika la Afya ya Jamii (SHA) linaonya juu ya kuongezeka kwa hatari ya kifua kikuu katika Kaunti ya Lamu na linashauri umma watumie mitungi ya wadudu kila usiku.
HEA_00063,Health,Notice: KEMSA confirms a tuberculosis outbreak alert for Turkana County. Residents are advised to report any suspected cases to community health volunteers.,Taarifa: KEMSA inathibitisha tahadhari ya mlipuko wa kifua kikuu kwa Wilaya ya Turkana. Wakazi wanashauriwa kuripoti visa vyovyote vinavyotarajiwa kwa wajitolea wa afya ya jamii.
HEA_00064,Health,Notice: KEMSA confirms a typhoid outbreak alert for Nandi County. Residents are advised to use insecticide-treated mosquito nets every night.,Taarifa: KEMSA inathibitisha tahadhari ya mlipuko wa kifua kikuu kwa Kaunti ya Nandi. Wakazi wanashauriwa kutumia nyuzi za mbu zinazoshughulikiwa na dawa za wadudu kila usiku.
HEA_00065,Health,Public health advisory: Ministry of Health warns of increased typhoid risk in Homa Bay County and advises the public to seek immediate testing at the nearest health facility.,Ushauri wa afya ya umma: Wizara ya Afya inaonya juu ya kuongezeka kwa hatari ya kifua kikuu katika Kaunti ya Homa Bay na inashauri umma kutafuta upimaji wa haraka katika kituo cha afya cha karibu.
HEA_00066,Health,Kenya Red Cross reminds the public that free dengue fever screening is available at all public health centres in Wajir County this February.,Msalaba Mwekundu wa Kenya unakumbusha umma kwamba uchunguzi wa bure wa homa ya dengue unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Wajir Februari hii.
HEA_00067,Health,Kenya Red Cross reminds the public that free tuberculosis screening is available at all public health centres in Nyeri County this October.,Msalaba Mwekundu wa Kenya unakumbusha umma kwamba uchunguzi wa bure wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Nyeri mwezi huu wa Oktoba.
HEA_00068,Health,Notice: KEMRI confirms a typhoid outbreak alert for Migori County. Residents are advised to use insecticide-treated mosquito nets every night.,Taarifa: KEMRI inathibitisha tahadhari ya mlipuko wa kifua kikuu kwa Wilaya ya Migori. Wakazi wanashauriwa kutumia nyuzi za mbu zinazoshughulikiwa na dawa za wadudu kila usiku.
HEA_00069,Health,Kenya Red Cross calls on parents in Tana River County to have children under five screened for cyclosporiasis during the February outreach.,Msalaba Mwekundu wa Kenya unawaomba wazazi katika Wilaya ya Tana River kuwachunguza watoto walio chini ya miaka mitano kwa ugonjwa wa cyclosporiasis wakati wa mkutano wa Februari.
HEA_00070,Health,Notice: Ministry of Health confirms a measles outbreak alert for Mombasa County. Residents are advised to report any suspected cases to community health volunteers.,Taarifa: Wizara ya Afya inathibitisha tahadhari ya kuzuka kwa ugonjwa wa saratani kwa Kaunti ya Mombasa. Wakazi wanashauriwa kuripoti visa vyovyote vinavyodhaniwa kwa wajitolea wa afya wa jamii.
HEA_00071,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cyclosporiasis screening is available at all public health centres in Bomet County this December.,Wizara ya Afya - Kitengo cha Afya ya Kuzaliana kinakumbusha umma kwamba uchunguzi wa bure wa cyclosporiasis unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Bomet Desemba hii.
HEA_00072,Health,Public health advisory: Ministry of Health warns of increased measles risk in Wajir County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: Wizara ya Afya inaonya juu ya kuongezeka kwa hatari ya kuambukiza katika Kaunti ya Wajir na inashauri umma kutumia nyuzi za mbu zinazotunzwa na dawa za wadudu kila usiku.
HEA_00073,Health,Division of Disease Surveillance and Response urges residents of Vihiga County to avoid contact with contaminated water sources following a rise in reported measles cases.,Idara ya Ufuatiliaji na Jibu la Magonjwa inawahimiza wakazi wa Kaunti ya Vihiga waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa baada ya ongezeko la visa vya kuambukizwa vya kuambukiza.
HEA_00074,Health,Ministry of Health reminds the public that free cholera screening is available at all public health centres in Kirinyaga County this June.,Wizara ya Afya inawakumbusha umma kwamba uchunguzi wa bure wa cholera unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Kirinyaga Juni hii.
HEA_00075,Health,Notice: KEMRI confirms a malaria outbreak alert for Migori County. Residents are advised to report any suspected cases to community health volunteers.,Taarifa: KEMRI inathibitisha tahadhari ya mlipuko wa malaria kwa Kaunti ya Migori. Wakazi wanashauriwa kuripoti visa vyovyote vinavyodhaniwa kwa wajitolea wa afya ya jamii.
HEA_00076,Health,Public health advisory: Kenya Medical Association warns of increased measles risk in Busia County and advises the public to complete the full recommended vaccination dose.,Ushauri wa afya ya umma: Chama cha Matibabu cha Kenya kinaonya juu ya kuongezeka kwa hatari ya kuugua ugonjwa wa saratani katika Kaunti ya Busia na inashauri umma kukamilisha kipimo kamili cha chanjo kilichopendekezwa.
HEA_00077,Health,KEMSA reminds the public that free measles screening is available at all public health centres in Uasin Gishu County this January.,KEMSA inawakumbusha umma kwamba uchunguzi wa bure wa ugonjwa wa saratani unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Uasin Gishu Januari hii.
HEA_00078,Health,Notice: Kenya Medical Association confirms a tuberculosis outbreak alert for Homa Bay County. Residents are advised to report any suspected cases to community health volunteers.,Taarifa: Chama cha Matibabu cha Kenya kinathibitisha tahadhari ya mlipuko wa kifua kikuu kwa Wilaya ya Homa Bay. Wakazi wanashauriwa kuripoti kesi yoyote inayoshukiwa kwa wajitolea wa afya wa jamii.
HEA_00079,Health,SHA (Social Health Authority) reminds the public that free Rift Valley Fever screening is available at all public health centres in Samburu County this January.,Shirika la Afya ya Jamii (SHA) linakumbusha umma kwamba uchunguzi wa bure wa Rift Valley Fever unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Samburu Januari hii.
HEA_00080,Health,KEMRI reminds the public that free typhoid screening is available at all public health centres in Baringo County this June.,KEMRI inawakumbusha umma kwamba uchunguzi wa bure wa ugonjwa wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Baringo mwezi huu Juni.
HEA_00081,Health,KEMRI reminds the public that free tuberculosis screening is available at all public health centres in Kwale County this November.,KEMRI inawakumbusha umma kwamba uchunguzi wa bure wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Kwale mwezi huu wa Novemba.
HEA_00082,Health,Division of Disease Surveillance and Response calls on parents in Nyandarua County to have children under five screened for typhoid during the February outreach.,Idara ya Ufuatiliaji na Jibu la Magonjwa inawaomba wazazi katika Kaunti ya Nyandarua kuwa na watoto chini ya miaka mitano kuchunguzwa kwa ugonjwa wa kifua kikuu wakati wa huduma ya Februari.
HEA_00083,Health,Notice: CDC confirms a dengue fever outbreak alert for Trans Nzoia County. Residents are advised to report any suspected cases to community health volunteers.,Taarifa: CDC inathibitisha tahadhari ya kuzuka kwa homa ya dengue kwa Kaunti ya Trans Nzoia. Wakazi wanashauriwa kuripoti visa vyovyote vinavyotarajiwa kwa wajitolea wa afya ya jamii.
HEA_00084,Health,SHA (Social Health Authority) urges residents of Makueni County to report any suspected cases to community health volunteers following a rise in reported meningitis cases.,Shirika la Afya ya Jamii (SHA) linawahimiza wakazi wa Kaunti ya Makueni kuripoti visa vyovyote vinavyoshukiwa kwa wajitoleaji wa afya ya jamii kufuatia ongezeko la visa vilivyoripotiwa vya meningitis.
HEA_00085,Health,SHA (Social Health Authority) urges residents of Bungoma County to report any suspected cases to community health volunteers following a rise in reported HIV/AIDS cases.,Shirika la Afya ya Jamii (SHA) linawahimiza wakazi wa Kaunti ya Bungoma kuripoti visa vyovyote vinavyoshukiwa kwa wajitoleaji wa afya ya jamii kufuatia ongezeko la visa vilivyoripotiwa vya VVU/UKIMWI.
